ticker,setup,score,price,entry,stop,target_2r,target_3r,risk_pct,rsi14,pullback_pct_below_sma50,coil_ratio,rel_strength_pct_vs_spy
VTRS,Breakout ready,0.527,17.100000381469727,17.37,16.59,18.93,19.71,4.49,58.2,-2.06,0.857,1.61
MFC,Breakout ready,0.527,44.58000183105469,44.78,43.23,47.88,49.43,3.46,61.1,-2.82,0.857,6.28
NTAP,Volatility coil,0.526,198.14999389648438,201.3,182.95,238.0,256.35,9.12,58.8,-7.15,0.765,22.97
COKE,Pullback to 20-day,0.526,189.89999389648438,195.28,183.29,219.26,231.25,6.14,46.7,-0.55,0.937,0.5
LH,Pullback to 20-day,0.525,320.989990234375,324.24,308.07,356.58,372.75,4.99,50.1,-2.26,0.976,15.18
ROST,Trend reset at 50-day,0.525,231.25,233.52,223.66,253.24,263.1,4.22,49.4,2.33,1.116,2.1
EQNR,Pullback to 20-day,0.525,42.4900016784668,43.96,42.18,47.52,49.3,4.05,48.6,-3.83,1.026,30.34
BWA,Trend reset at 50-day,0.524,63.31999969482422,64.05,61.0,70.15,73.2,4.76,44.5,2.48,0.985,-14.21
MSI,Pullback to 20-day,0.523,461.3599853515625,462.95,452.89,483.07,493.13,2.17,47.8,-1.92,0.965,10.91
AU,Pullback to 20-day,0.523,101.93000030517578,103.2,97.27,115.06,120.99,5.75,47.5,-6.05,0.853,23.68
JNJ,Breakout ready,0.521,269.4700012207031,274.0,263.08,295.84,306.76,3.99,54.2,-2.56,0.888,4.98
AMP,Trend reset at 50-day,0.521,535.719970703125,552.22,528.25,600.16,624.13,4.34,40.3,2.28,1.229,12.95
BDX,Pullback to 20-day,0.521,180.6999969482422,181.75,174.12,197.01,204.64,4.2,50.4,-3.54,0.921,14.47
ELV,Breakout ready,0.521,409.30999755859375,412.03,389.91,456.27,478.39,5.37,53.2,-3.45,0.802,0.54
INCY,Pullback to 20-day,0.521,124.6500015258789,127.57,121.02,140.67,147.22,5.13,51.1,-1.79,0.982,10.32
IFF,Pullback to 20-day,0.52,83.5999984741211,84.36,81.82,89.44,91.98,3.01,49.1,-1.94,0.939,6.27
BMRN,Pullback to 20-day,0.52,64.05999755859375,65.04,63.16,68.8,70.68,2.89,46.2,-0.44,1.023,6.1
NDAQ,Pullback to 20-day,0.52,94.69000244140625,95.01,90.41,104.21,108.81,4.84,52.3,-0.44,1.118,16.76
SLF,Breakout ready,0.52,81.44000244140625,81.71,79.19,86.75,89.27,3.08,59.6,-1.52,0.913,0.4
GSAT,Breakout ready,0.519,83.04000091552734,83.2,81.91,85.78,87.07,1.55,60.3,-1.67,0.887,-1.74
KMX,Trend reset at 50-day,0.519,57.86000061035156,58.87,55.97,64.67,67.57,4.93,41.7,2.58,1.175,3.78
OKE,Trend reset at 50-day,0.519,91.80000305175781,93.24,90.98,97.76,100.02,2.42,42.2,0.85,1.03,-1.83
AAPL,Breakout ready,0.518,338.9800109863281,340.02,324.88,370.3,385.44,4.45,66.4,-5.76,0.838,17.7
CVE,Pullback to 20-day,0.516,31.56999969482422,32.5,31.33,34.84,36.01,3.6,47.4,-3.27,1.034,22.93
BEN,Trend reset at 50-day,0.516,33.63999938964844,33.75,32.09,37.07,38.73,4.92,49.5,0.11,1.005,-1.53
CNC,Trend reset at 50-day,0.515,64.98999786376953,65.69,61.19,74.69,79.19,6.85,47.5,0.7,1.009,-5.26
